MPXV_1	55	2606	2552
MPXV_2	2546	4909	2364
MPXV_3	4572	6408	1837
MPXV_4	6318	7227	910
MPXV_5	7162	9604	2443
MPXV_6	9455	11940	2486
MPXV_7	11874	14458	2585
MPXV_8	14307	16880	2574
MPXV_9	16797	19280	2484
MPXV_10	19199	21737	2539
MPXV_11	21675	24228	2554
MPXV_12	24116	26436	2321
MPXV_13	26349	28888	2540
MPXV_14	28818	31348	2531
MPXV_15	31264	33819	2556
MPXV_16	33743	36293	2551
MPXV_17	36182	38738	2557
MPXV_18	38666	41222	2557
MPXV_19	41161	43709	2549
MPXV_20	43615	46165	2551
MPXV_21	46097	48647	2551
MPXV_22	48578	51128	2551
MPXV_23	51053	53603	2551
MPXV_24	53528	56078	2551
MPXV_25	56005	58555	2551
MPXV_26	58489	61039	2551
MPXV_27	60973	63522	2550
MPXV_28	63437	66003	2567
MPXV_29	65927	68477	2551
MPXV_30	68406	70951	2546
MPXV_31	70884	73434	2551
MPXV_32	73322	75877	2556
MPXV_33	75803	78349	2547
MPXV_34	78278	80826	2549
MPXV_35	80735	83285	2551
MPXV_36	83211	85758	2548
MPXV_37	85668	88229	2562
MPXV_38	88156	90706	2551
MPXV_39	90615	93171	2557
MPXV_40	93058	95608	2551
MPXV_41	95548	98079	2532
MPXV_42	98002	100544	2543
MPXV_43	100473	103001	2529
MPXV_44	102871	105417	2547
MPXV_45	105315	107864	2550
MPXV_46	107790	110336	2547
MPXV_47	110267	112817	2551
MPXV_48	112718	115271	2554
MPXV_49	115181	117712	2532
MPXV_50	117636	120186	2551
MPXV_51	120075	122625	2551
MPXV_52	122561	125101	2541
MPXV_53	125029	127567	2539
MPXV_54	127498	130048	2551
MPXV_55	129989	132530	2542
MPXV_56	132462	135037	2576
MPXV_57	134971	137550	2580
MPXV_58	137474	140024	2551
MPXV_59	139950	142507	2558
MPXV_60	142428	144981	2554
MPXV_61	144906	147488	2583
MPXV_62	147366	149919	2554
MPXV_63	149846	152436	2591
MPXV_64	152359	154907	2549
MPXV_65	154314	156313	2000
MPXV_66	156227	158797	2571
MPXV_67	158707	161253	2547
MPXV_68	161183	163748	2566
MPXV_69	163643	166195	2553
MPXV_70	166057	168624	2568
MPXV_71	168561	171094	2534
MPXV_72	171024	173611	2588
MPXV_73	173527	176088	2562
MPXV_74	176012	178557	2546
MPXV_75	178467	180969	2503
MPXV_76	180904	183464	2561
MPXV_77	183396	185946	2551
MPXV_78	185879	188433	2555
MPXV_79	188314	190865	2552
